J,K,network_size,sample_size,rep,runtime_sec,num_binary,num_ct,num_constr,m_sol
4,4,4*4,1500,2,54.38744975000009,12008,16,32,"[[0.00000000e+00 0.00000000e+00 1.02837940e+00 0.00000000e+00]
 [0.00000000e+00 7.00133976e+00 2.98938238e+00 0.00000000e+00]
 [2.20378659e+00 0.00000000e+00 0.00000000e+00 5.65615288e-07]
 [5.07260773e+00 8.56681747e-01 0.00000000e+00 2.59701081e+00]]"
4,4,4*4,1500,3,47.951855041999806,12008,16,32,"[[7.77770568 0.         0.         0.        ]
 [1.20902391 0.         3.75110337 1.81359222]
 [0.         5.91451192 0.         0.62275397]
 [0.         1.61645372 0.         0.        ]]"
4,4,4*4,1500,4,347.49938041600035,12008,16,32,"[[5.84931460e+00 0.00000000e+00 6.14846549e-07 0.00000000e+00]
 [6.78389479e-01 0.00000000e+00 4.81457692e+00 4.43490158e+00]
 [1.89206553e+00 4.25640010e+00 0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 5.57499560e+00 0.00000000e+00 6.14846511e-07]]"
4,4,4*4,1500,5,3171.915574417002,12008,16,32,"[[0.         1.189703   3.39299958 0.52692958]
 [0.         0.         0.         0.77085839]
 [0.         0.         0.         0.        ]
 [7.11057871 0.         1.76696772 0.        ]]"
5,5,5*5,100,1,0.31439912499990896,1010,25,40,"[[2.20011331 0.57452127 0.         0.         3.35072292]
 [0.         0.         0.         1.66675605 0.        ]
 [0.         0.         2.43752062 0.29656423 0.        ]
 [0.         3.59031056 0.         1.06761077 0.        ]
 [0.         0.         0.         3.74659906 0.        ]]"
5,5,5*5,100,2,2.660337833000085,1010,25,40,"[[0.         0.55074254 3.41029414 0.         0.        ]
 [5.84573461 0.         0.         0.         0.95150733]
 [0.         1.27728996 0.         0.         0.        ]
 [0.         4.38018589 0.         4.66030836 0.36310789]
 [0.         0.         0.066994   0.         0.        ]]"
5,5,5*5,100,3,1.2489118749981571,1010,25,40,"[[4.16339336 0.         0.         0.         0.        ]
 [2.78703591 0.         0.         1.46109547 0.5316363 ]
 [0.         2.07900497 0.         0.         0.34641148]
 [0.         0.         0.         0.         5.38289924]
 [0.         0.         0.         4.06943691 0.        ]]"
5,5,5*5,100,4,3.729044084000634,1010,25,40,"[[1.70473217 0.         1.25115833 0.         0.        ]
 [0.         0.         0.         2.42014953 0.        ]
 [0.         0.         0.         1.92065886 0.        ]
 [4.26263365 0.         0.         0.         0.        ]
 [0.         0.06214519 1.45162117 0.03212788 5.99225375]]"
5,5,5*5,100,5,0.3515089159991476,1010,25,40,"[[0.         1.8607008  0.         0.         0.        ]
 [0.         0.98332555 0.         6.61383975 0.        ]
 [0.         5.00582786 0.         0.         0.        ]
 [0.85810727 0.59175426 2.36334496 0.         4.53586553]
 [0.         0.         5.59077339 0.         0.        ]]"
5,5,5*5,250,1,54.63203016699845,2510,25,40,"[[0.00000000e+00 2.10639572e+00 0.00000000e+00 0.00000000e+00
  6.24878171e-07]
 [0.00000000e+00 1.89546925e+00 1.13817594e+00 2.01363884e+00
  0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 3.06583730e-01
  2.88065040e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00]
 [2.14638794e+00 6.24878192e-07 0.00000000e+00 3.92855907e+00
  0.00000000e+00]]"
